N,P,K,temperature,humidity,ph,rainfall,label
89.2,49.1,24.7,25.8,79.7,6.21,1803.5,rice
100.5,38.2,27.5,26.1,74.2,5.97,1681.2,rice
78.1,28.5,13.9,28.9,87.7,6.46,1827.8,rice
63.8,60.2,38.8,28.0,76.4,6.13,1560.9,rice
102.8,46.5,19.6,27.5,80.2,6.09,2120.0,rice
108.6,23.2,35.6,27.0,76.5,6.42,1531.1,rice
80.7,30.0,32.7,25.9,78.5,6.09,1628.2,rice
91.3,46.0,20.2,27.4,77.7,6.14,1690.3,rice
70.1,46.8,22.4,27.7,75.8,6.35,1937.8,rice
66.4,47.7,13.4,23.0,80.1,6.3,1343.1,rice
67.1,35.4,40.1,27.3,78.4,6.26,1447.2,rice
101.6,10.3,22.0,26.1,77.2,6.35,1958.9,rice
81.3,38.1,41.7,28.9,80.9,6.14,1699.2,rice
73.5,44.7,25.8,28.1,79.0,6.16,1834.4,rice
98.0,35.1,10.0,28.2,82.2,6.19,2268.9,rice
105.1,43.9,27.8,25.0,79.1,6.25,1282.3,rice
57.8,53.7,33.4,29.6,80.6,6.39,1197.2,rice
83.7,34.5,21.5,26.5,85.7,6.28,1908.2,rice
87.2,44.0,40.4,29.6,80.2,6.16,1536.0,rice
85.7,49.1,20.8,26.2,77.6,6.17,1682.5,rice
68.4,25.1,12.2,29.7,81.0,6.6,2088.9,rice
63.1,69.3,31.3,31.2,79.9,6.3,1913.6,rice
68.1,45.7,48.8,27.8,81.2,6.29,1931.4,rice
78.1,40.7,40.9,30.9,78.7,6.06,2148.3,rice
64.8,20.1,38.2,23.3,79.6,6.17,2132.4,rice
105.0,36.9,15.0,27.7,76.8,6.19,1427.5,rice
76.5,48.4,48.5,26.9,73.3,6.24,1681.8,rice
80.9,40.2,29.8,30.3,77.2,6.73,1682.8,rice
79.5,33.5,22.9,28.0,78.6,6.15,1713.9,rice
96.4,35.0,10.0,27.8,83.8,5.75,1686.3,rice
63.3,61.0,39.4,26.6,76.5,6.1,1657.1,rice
87.3,25.3,37.1,30.7,77.2,6.15,1930.4,rice
74.6,53.9,19.2,26.9,81.8,6.33,1656.3,rice
61.2,51.1,28.2,29.0,79.2,6.31,1898.3,rice
56.7,29.8,17.2,26.2,78.2,5.99,2012.3,rice
78.5,33.5,34.0,31.9,84.2,6.29,1229.5,rice
74.5,39.3,33.1,27.4,80.3,6.28,2025.8,rice
77.2,40.2,33.5,23.2,81.9,6.28,1413.0,rice
86.1,19.6,40.3,26.2,80.5,6.07,1555.4,rice
95.2,17.9,17.2,28.7,82.5,6.56,1814.0,rice
82.8,30.9,23.9,25.9,81.3,6.11,1756.5,rice
95.8,28.6,56.3,24.0,76.6,6.07,1519.2,rice
71.4,41.5,55.6,28.7,77.9,6.38,1796.2,rice
106.6,32.5,48.1,27.3,78.2,6.24,2037.3,rice
89.3,21.2,22.7,29.3,81.6,6.43,1609.4,rice
60.0,44.6,36.1,26.9,81.6,6.28,1731.4,rice
78.9,20.1,34.3,28.9,82.1,6.34,2020.2,rice
95.8,39.5,36.8,28.0,76.8,6.05,1817.9,rice
81.4,34.5,25.7,27.6,82.3,6.15,1757.4,rice
66.6,37.8,25.6,26.7,78.8,6.49,1805.5,rice
84.0,32.1,30.8,31.1,82.6,5.97,1799.1,rice
74.6,34.7,44.5,30.2,83.5,6.68,1620.7,rice
59.8,29.0,20.0,31.4,78.9,6.2,1619.3,rice
65.0,51.8,27.9,25.6,80.6,6.54,1741.3,rice
82.5,45.9,32.9,27.4,77.2,6.32,1918.7,rice
71.7,32.4,41.9,33.6,78.7,6.13,1590.6,rice
71.7,47.6,32.0,31.1,77.9,6.34,1607.3,rice
74.2,43.4,33.3,23.7,84.5,6.14,2136.9,rice
59.3,31.2,29.7,29.1,79.6,6.1,2252.6,rice
97.8,70.3,24.7,32.0,80.6,6.25,1620.6,rice
88.8,35.7,35.9,26.3,81.7,6.6,2011.0,rice
97.5,56.6,36.5,30.3,81.3,6.45,1955.1,rice
85.5,35.3,30.3,27.1,83.0,6.1,1786.7,rice
91.2,30.2,51.6,30.7,80.1,6.0,1797.8,rice
78.6,43.3,36.1,26.7,80.6,6.55,1804.8,rice
64.6,41.6,23.0,28.0,80.5,6.45,1638.4,rice
103.5,39.2,24.4,30.5,78.6,6.32,1369.2,rice
72.5,27.7,37.1,32.2,74.5,6.33,1388.0,rice
89.8,38.8,48.5,28.1,76.8,6.41,1609.0,rice
83.7,37.1,33.5,24.8,78.3,6.24,1368.6,rice
85.1,45.5,35.7,24.4,79.8,6.46,2110.9,rice
90.6,38.9,44.4,28.6,83.3,6.29,1910.7,rice
81.9,19.6,38.4,25.8,79.9,5.98,2200.2,rice
43.6,21.0,37.6,25.9,75.3,6.17,1638.5,rice
79.9,26.1,45.0,29.5,77.6,6.24,1856.4,rice
49.4,37.0,23.2,29.7,80.1,6.29,1694.8,rice
71.4,46.9,44.0,25.0,84.5,6.37,1679.7,rice
85.9,50.7,36.4,29.8,78.4,6.38,1764.9,rice
111.1,31.7,47.4,30.1,83.3,6.29,1616.2,rice
86.4,46.3,24.3,28.0,78.8,6.19,1587.1,rice
80.6,41.4,36.1,27.4,84.3,6.33,2285.6,rice
89.7,34.2,45.7,24.9,75.8,6.32,1685.7,rice
105.3,34.5,40.8,24.4,80.6,6.45,1383.9,rice
56.4,57.7,43.8,27.4,82.2,6.37,1706.8,rice
71.7,31.9,29.7,25.9,81.2,6.3,1849.0,rice
37.3,53.8,12.6,30.4,79.1,6.39,1885.9,rice
73.0,44.2,29.5,26.6,76.8,6.47,1470.1,rice
72.6,21.3,25.7,28.7,76.8,6.44,1769.2,rice
75.2,64.9,33.8,31.3,79.1,6.18,1962.6,rice
77.1,39.1,29.6,28.6,80.6,6.2,2007.6,rice
81.2,16.0,39.2,29.3,81.8,6.23,1763.0,rice
77.9,53.3,19.6,28.4,72.8,6.64,1999.5,rice
77.1,42.6,38.7,29.0,78.4,6.61,1486.6,rice
79.1,42.4,40.5,28.7,80.9,6.7,1787.6,rice
104.5,26.2,33.0,30.3,81.6,6.04,2046.8,rice
86.3,59.4,34.5,25.6,80.8,6.31,1734.0,rice
89.0,48.4,27.0,26.9,83.0,6.02,1991.0,rice
80.2,26.8,15.6,30.9,80.3,6.22,1712.5,rice
70.4,14.4,46.4,31.5,77.5,5.85,1538.3,rice
75.1,10.0,52.9,30.0,85.6,6.43,1578.0,rice
100.8,46.8,35.9,24.0,82.6,6.71,1338.7,rice
79.1,31.0,27.2,29.6,80.7,6.27,1939.7,rice
82.7,56.7,39.2,23.3,77.5,6.04,1725.4,rice
76.6,46.6,20.3,23.6,82.4,6.07,1502.6,rice
56.1,45.3,29.8,27.8,78.5,6.31,1416.5,rice
73.6,41.5,35.4,28.9,83.4,6.27,1806.0,rice
59.0,61.0,17.6,27.6,78.2,6.13,1760.1,rice
98.7,31.9,32.8,25.8,82.2,6.19,1570.4,rice
89.5,45.0,28.1,25.4,77.0,6.31,2286.3,rice
113.2,33.3,16.3,27.2,79.6,6.43,1761.0,rice
105.2,33.4,35.7,27.3,78.0,6.56,2394.9,rice
64.8,32.2,17.8,31.6,79.5,6.14,1655.2,rice
85.0,31.7,10.1,27.6,80.6,5.96,1557.5,rice
86.3,31.5,29.4,28.4,77.0,6.56,2056.9,rice
82.5,23.0,28.9,28.9,81.3,6.08,1769.0,rice
89.1,26.9,26.8,25.2,83.1,6.45,1566.1,rice
82.9,36.3,31.3,30.5,85.8,6.32,1785.4,rice
60.0,18.0,35.1,27.1,82.4,6.1,1927.0,rice
79.9,50.1,30.8,24.7,81.0,6.72,1211.8,rice
84.8,32.0,39.9,27.3,79.3,6.3,1979.8,rice
80.4,39.9,40.9,27.1,81.3,6.08,1561.1,rice
88.4,40.1,16.9,28.7,82.0,6.51,1743.7,rice
80.8,46.4,29.3,24.8,78.5,6.21,1673.7,rice
77.8,25.5,36.0,28.7,75.1,6.07,1766.1,rice
82.2,36.0,23.9,31.3,79.5,6.53,2054.7,rice
80.0,45.2,41.9,26.7,80.4,6.28,1653.0,rice
59.5,37.3,18.3,29.9,73.6,6.43,1378.8,rice
41.1,33.4,33.9,23.0,81.9,6.14,1885.4,rice
81.8,28.3,42.0,23.8,80.0,6.36,1795.8,rice
66.7,37.9,47.1,27.1,77.7,6.17,1743.2,rice
70.0,52.5,23.9,24.1,83.7,6.21,1346.6,rice
70.9,48.9,33.0,32.1,78.8,6.65,1919.5,rice
86.9,31.9,50.1,30.8,80.1,6.11,2140.4,rice
65.4,34.6,23.4,27.8,80.5,6.0,1658.7,rice
94.9,30.9,15.8,24.9,83.0,6.38,1884.2,rice
88.3,45.5,51.7,31.3,79.4,6.5,1669.3,rice
102.9,46.1,35.4,25.9,80.1,6.3,1982.0,rice
50.5,64.7,19.0,30.2,77.9,6.05,1658.8,rice
92.9,33.0,28.3,26.9,80.8,6.4,1680.8,rice
91.0,48.0,41.7,28.2,84.0,6.34,1687.8,rice
72.1,47.0,42.4,28.0,81.0,6.13,1425.8,rice
119.0,46.8,12.4,27.6,84.3,6.3,1827.2,rice
77.9,25.3,27.9,29.4,83.2,6.38,1845.3,rice
85.9,25.6,34.4,25.4,81.5,6.56,1604.9,rice
68.2,47.8,28.8,30.5,79.7,6.25,1597.6,rice
74.4,60.7,26.0,28.5,78.9,6.39,1528.1,rice
57.1,35.1,24.5,28.1,76.5,5.92,1983.1,rice
110.1,64.7,42.1,33.9,80.5,6.54,1608.9,rice
67.7,40.0,28.3,30.1,81.9,6.15,1898.1,rice
102.2,26.3,28.1,26.4,82.4,6.27,1924.1,rice
102.7,47.6,19.8,25.7,79.8,6.23,1283.4,rice
65.6,35.5,40.9,32.1,81.5,6.21,2055.3,rice
82.1,18.8,33.2,32.2,78.8,6.04,2135.8,rice
72.0,26.0,10.0,27.1,76.0,6.35,1633.5,rice
71.0,45.6,20.0,27.4,84.2,6.16,2193.1,rice
76.9,29.5,21.7,28.3,83.1,6.23,1941.5,rice
102.4,36.7,29.8,26.9,82.3,6.1,1841.8,rice
75.8,40.8,35.2,25.6,82.2,6.39,1143.9,rice
84.4,23.7,34.7,23.6,82.0,6.01,1617.7,rice
67.8,42.4,41.5,27.4,82.9,6.11,1346.2,rice
82.6,35.6,21.7,25.0,81.1,6.38,1765.4,rice
93.6,11.6,19.9,27.7,72.7,6.33,1482.0,rice
77.3,56.5,23.5,29.0,80.1,6.11,2264.4,rice
104.4,43.9,27.5,25.5,77.6,6.27,1629.3,rice
77.3,78.3,33.0,26.8,82.2,6.24,1359.2,rice
58.4,51.0,23.3,25.6,82.9,6.27,1643.4,rice
81.0,50.2,34.8,32.2,78.9,6.49,2020.0,rice
73.9,28.5,34.2,25.4,82.6,6.19,1589.1,rice
78.8,45.4,19.4,32.7,80.1,6.51,1483.1,rice
118.8,47.0,33.3,28.6,82.5,6.47,1703.2,rice
82.5,55.8,19.9,28.0,80.8,6.19,1661.7,rice
70.9,35.4,29.8,30.3,79.7,5.85,2079.3,rice
76.4,35.6,26.1,25.0,82.1,6.35,1623.8,rice
102.8,52.0,25.7,25.2,79.2,6.48,2153.8,rice
62.3,54.3,25.4,28.5,77.7,6.31,1744.0,rice
72.9,50.5,16.5,28.0,79.4,6.36,1820.8,rice
87.7,42.2,33.5,27.8,77.5,6.12,2234.7,rice
76.4,48.1,49.0,28.7,82.8,6.33,1908.7,rice
47.4,50.2,24.6,27.2,82.8,6.23,1506.4,rice
73.5,46.2,27.4,27.3,80.5,6.38,1833.0,rice
72.0,49.7,33.7,29.3,77.7,6.45,1903.8,rice
75.5,49.6,13.8,32.1,79.1,6.25,1694.1,rice
78.4,38.0,30.7,24.9,82.4,6.57,1483.0,rice
87.5,42.3,40.0,30.4,80.6,6.43,1518.2,rice
87.7,36.0,28.6,20.7,78.4,5.91,1919.5,rice
91.1,40.9,14.0,29.9,83.3,6.56,2153.1,rice
81.8,46.6,30.4,26.9,85.4,6.22,1539.2,rice
60.2,32.7,29.6,31.7,80.5,6.11,1594.3,rice
57.4,49.1,30.8,26.4,76.5,6.23,1576.9,rice
100.1,17.5,31.2,23.9,78.1,6.31,1672.7,rice
75.2,30.4,40.8,27.1,80.5,6.11,1917.8,rice
57.3,18.4,14.2,27.6,79.8,6.12,2225.3,rice
72.8,41.8,46.1,28.2,76.0,6.42,1877.2,rice
69.2,23.3,20.1,29.7,77.8,5.85,1682.9,rice
82.5,45.3,19.1,27.2,79.4,6.13,1769.2,rice
83.5,51.4,32.9,31.0,80.0,6.38,1725.4,rice
79.5,37.5,28.7,26.0,77.1,6.27,1840.4,rice
64.6,55.2,21.3,22.8,80.2,6.28,1612.8,rice
62.1,51.0,40.0,29.9,78.4,6.58,1856.8,rice
83.9,38.4,38.1,25.8,79.4,6.3,2098.1,rice
95.5,34.0,19.1,29.5,83.3,5.94,1312.9,rice
91.7,55.7,44.0,26.5,79.5,6.19,1473.6,rice
94.5,59.4,17.7,26.1,75.8,6.1,1697.7,rice
86.4,34.3,29.9,26.0,80.7,6.1,1743.4,rice
78.7,35.6,27.4,28.9,78.9,6.23,1751.6,rice
75.0,54.1,33.7,31.5,79.3,6.38,1890.2,rice
62.1,41.7,47.3,27.2,76.1,6.04,1861.9,rice
71.9,18.7,23.8,33.1,81.3,5.91,1909.5,rice
63.9,42.9,50.7,27.1,75.1,6.39,1632.0,rice
109.4,25.2,35.0,25.2,79.3,6.46,1117.4,rice
83.8,28.7,40.9,26.3,86.6,5.97,1723.5,rice
74.9,47.5,26.3,27.7,79.0,6.3,1827.0,rice
53.4,55.1,20.9,28.4,82.8,6.24,1742.7,rice
127.1,33.4,32.2,25.9,83.4,5.85,1601.1,rice
88.3,41.1,28.0,27.4,81.3,6.37,1821.4,rice
35.9,47.9,31.9,27.1,82.8,6.36,1701.3,rice
68.4,44.9,20.3,27.5,82.8,6.43,1652.9,rice
87.7,48.7,35.2,24.1,82.2,6.43,1593.3,rice
97.8,48.5,33.5,25.9,82.0,6.39,1858.0,rice
68.8,31.9,28.6,30.2,77.8,6.22,1743.4,rice
80.0,30.2,36.6,25.5,75.3,6.29,1673.0,rice
65.9,50.0,28.1,29.8,78.1,6.11,1348.1,rice
80.9,43.3,43.6,26.8,81.6,6.02,1249.0,rice
98.6,42.5,32.6,24.2,80.5,6.59,995.1,rice
95.9,73.1,33.9,29.5,81.2,6.34,1506.6,rice
73.9,33.7,31.5,26.2,75.6,6.12,1743.6,rice
75.1,41.9,38.3,25.4,80.0,6.25,2030.3,rice
67.7,21.2,38.7,25.3,79.2,6.0,1585.5,rice
85.9,38.8,32.7,28.2,82.1,6.22,1798.4,rice
93.9,51.6,42.4,26.0,79.7,6.52,1140.3,rice
89.2,54.4,28.6,27.7,78.5,6.19,1799.3,rice
45.6,20.6,17.8,26.4,81.5,5.98,1750.1,rice
84.9,43.6,36.2,26.2,78.9,6.52,1713.1,rice
63.9,21.4,38.2,24.7,79.8,6.38,2009.8,rice
62.2,59.7,21.0,28.4,77.8,6.46,1524.5,rice
77.6,40.5,20.0,29.1,81.5,6.15,1667.8,rice
41.6,37.7,54.1,29.4,79.4,6.06,1621.7,rice
88.2,25.8,41.1,29.5,79.3,6.25,1745.2,rice
90.1,47.1,26.5,29.3,81.1,6.25,1929.5,rice
58.0,42.0,30.5,26.1,83.9,6.02,1775.5,rice
56.0,30.1,29.0,27.9,79.4,6.53,1811.0,rice
83.5,24.9,23.8,23.4,84.2,6.25,1706.0,rice
63.3,43.0,35.0,26.6,83.2,6.35,1670.6,rice
61.1,37.2,34.7,30.4,77.5,6.1,2145.1,rice
67.5,65.1,13.9,30.0,79.2,6.28,1731.0,rice
74.6,37.8,43.7,28.0,80.0,6.21,2255.9,rice
73.6,47.1,14.0,22.0,76.4,6.2,2133.4,rice
70.1,45.1,30.2,28.7,76.6,6.29,2256.1,rice
90.8,24.5,20.4,25.9,84.5,6.21,1872.0,rice
80.0,25.0,36.0,28.7,80.9,6.19,2121.0,rice
73.4,39.2,51.0,29.7,78.8,6.3,1637.0,rice
77.3,32.2,43.2,26.9,78.4,6.39,1660.4,rice
69.7,49.5,10.3,31.0,75.3,6.44,1599.9,rice
65.7,35.1,36.9,29.7,81.8,6.25,1447.2,rice
104.3,25.8,21.0,27.8,84.9,5.96,1896.1,rice
102.7,22.6,29.9,24.2,82.3,6.23,1702.7,rice
40.9,42.4,34.4,24.4,82.2,6.17,1840.9,rice
97.9,18.7,33.2,28.5,77.3,6.38,2058.9,rice
69.9,40.4,19.1,26.2,80.9,6.16,1729.6,rice
86.9,19.3,23.2,24.8,77.1,6.37,1919.8,rice
91.8,37.0,24.0,30.5,78.8,6.34,1504.7,rice
67.9,30.0,35.2,31.1,82.4,6.27,2184.7,rice
95.8,17.0,26.2,28.5,81.6,5.97,2100.4,rice
77.3,46.4,38.9,28.1,87.8,6.36,2248.9,rice
90.0,45.1,38.4,26.7,80.6,6.34,2198.8,rice
91.7,45.5,46.7,26.0,77.2,6.33,1610.4,rice
90.4,50.2,27.1,27.5,77.3,6.18,1917.2,rice
88.6,46.0,30.5,27.3,79.1,6.42,1370.5,rice
87.4,33.7,10.0,27.5,81.7,6.33,1584.9,rice
74.1,52.7,36.2,30.2,77.8,6.38,1630.3,rice
74.5,41.7,12.2,29.2,83.0,6.3,1408.5,rice
96.7,20.0,45.3,28.5,76.6,5.96,1492.7,rice
77.7,33.4,31.6,26.2,77.2,6.48,1323.2,rice
60.1,35.0,32.6,28.8,83.6,6.18,2029.3,rice
80.5,30.9,27.7,25.1,80.9,6.24,1510.7,rice
66.1,13.0,23.5,25.2,82.6,5.9,1972.5,rice
83.1,40.8,22.8,27.3,77.7,6.06,1387.6,rice
100.1,24.4,38.3,27.9,79.3,6.56,1613.3,rice
63.2,29.0,40.2,29.5,82.0,6.54,1462.9,rice
60.1,52.6,41.7,28.2,80.9,6.32,1887.9,rice
88.6,39.3,41.2,26.9,76.2,6.35,1739.1,rice
77.4,42.7,26.3,26.7,77.5,6.25,1891.2,rice
106.2,36.1,17.1,27.2,78.9,5.95,1956.5,rice
76.5,30.6,23.1,29.2,80.7,6.31,1624.3,rice
90.2,57.8,24.2,25.2,79.8,6.12,1542.0,rice
91.1,45.8,17.6,28.1,81.2,6.26,1874.9,rice
90.2,37.5,40.7,29.7,78.1,6.26,1971.8,rice
90.8,37.2,44.5,33.4,76.5,6.31,1553.5,rice
109.9,30.8,24.5,24.2,78.5,6.57,1923.2,rice
51.2,39.8,23.1,29.6,79.9,6.25,1653.2,rice
75.8,36.6,37.9,26.3,76.9,6.4,2110.9,rice
70.8,27.0,21.7,28.4,82.4,6.19,1892.7,rice
87.2,46.6,35.5,34.9,76.6,6.0,2061.2,rice
46.7,37.2,21.5,26.9,80.8,6.27,1718.6,rice
93.8,45.8,34.2,27.9,80.9,6.19,2496.3,rice
66.1,46.7,20.8,29.0,77.2,6.34,2264.1,rice
61.3,40.7,22.9,26.5,82.4,6.42,1676.2,rice
86.5,23.5,24.4,24.4,79.2,6.71,1695.7,rice
108.1,28.1,21.3,30.1,76.0,5.9,2272.1,rice
93.9,27.8,30.9,28.8,80.0,6.31,1091.1,rice
65.1,47.8,38.6,25.2,77.8,6.17,1813.8,rice
79.2,71.4,18.9,26.9,76.4,6.19,1759.6,rice
85.6,44.7,29.5,31.2,80.7,6.58,1999.2,rice
77.0,30.4,29.4,30.6,78.4,6.0,2024.1,rice
92.7,13.0,23.9,30.6,79.9,6.26,1635.7,rice
89.3,19.9,18.1,28.0,78.8,5.9,2050.0,rice
93.5,35.2,36.5,25.9,78.5,5.84,1703.9,rice
90.0,31.2,30.8,24.7,80.0,6.36,1699.6,rice
81.3,56.9,34.1,28.6,81.8,6.4,2114.0,rice
72.8,43.6,34.6,25.3,81.7,6.17,2100.8,rice
82.9,51.3,19.7,28.0,84.2,6.45,1827.8,rice
70.2,26.9,22.2,28.5,79.5,6.09,2202.3,rice
66.4,58.2,35.1,26.6,80.0,6.42,1398.6,rice
93.4,42.1,35.5,30.1,82.1,6.05,1585.5,rice
86.9,23.6,38.5,24.6,81.5,6.07,1526.2,rice
88.7,43.1,24.6,24.4,81.6,6.12,1888.1,rice
81.4,22.9,36.8,25.0,80.9,5.96,1259.3,rice
84.7,45.6,14.6,26.7,81.8,6.31,1667.6,rice
79.4,38.4,33.3,29.4,77.5,6.2,1903.1,rice
99.9,44.6,40.9,31.1,76.7,6.37,2020.4,rice
82.2,40.3,26.5,32.5,80.6,6.45,2005.9,rice
59.0,44.4,10.0,31.4,83.8,6.34,1545.4,rice
109.3,33.9,19.4,29.1,78.5,6.27,1971.3,rice
100.1,31.1,25.1,31.2,80.0,6.44,2240.6,rice
109.8,33.6,26.6,30.6,81.4,6.09,2171.3,rice
86.9,40.5,35.6,28.4,82.1,6.33,2138.5,rice
85.8,37.5,47.6,21.2,80.6,6.03,1675.8,rice
73.2,42.3,22.4,31.4,79.6,6.24,1633.5,rice
93.4,32.4,32.5,24.7,81.6,6.1,1905.7,rice
77.1,37.5,22.5,29.6,81.1,6.15,1741.6,rice
76.2,37.1,29.4,27.1,78.8,6.2,1362.8,rice
64.4,34.2,26.5,28.7,78.4,6.02,1968.6,rice
88.9,33.3,25.9,25.6,78.9,6.28,1426.0,rice
53.2,35.7,33.0,25.2,77.9,6.36,1742.1,rice
78.6,18.7,29.2,28.0,80.9,6.06,2423.3,rice
70.5,60.9,26.8,25.4,78.6,6.23,1978.8,rice
85.9,16.9,27.2,32.1,81.2,6.32,1953.5,rice
105.6,55.0,29.4,29.6,76.5,6.24,1737.8,rice
103.4,36.7,27.6,29.9,75.7,6.08,1658.4,rice
77.6,43.5,14.8,26.8,84.1,6.67,2226.0,rice
71.2,30.0,23.9,31.2,80.5,6.04,1458.1,rice
83.3,54.6,24.9,26.2,82.1,6.04,1612.9,rice
72.0,45.8,19.0,25.7,82.9,6.29,1692.4,rice
66.7,46.4,42.3,29.2,79.2,6.09,1852.2,rice
79.5,29.1,20.6,25.9,74.8,6.14,1864.6,rice
48.2,20.1,34.6,25.8,79.5,5.83,1823.0,rice
74.2,44.6,31.4,20.6,78.7,6.51,1625.1,rice
138.9,15.0,47.2,22.2,80.5,6.35,1942.1,rice
71.5,44.0,14.8,26.8,79.9,6.17,1821.8,rice
98.9,33.6,33.6,29.4,77.2,6.17,1646.0,rice
77.4,48.0,31.0,25.7,81.7,6.6,1939.5,rice
79.0,41.1,32.5,30.7,81.9,6.21,1570.3,rice
93.0,34.5,21.1,27.2,83.9,6.43,1803.7,rice
76.6,20.3,26.1,29.9,83.7,6.14,1969.0,rice
84.9,26.2,30.9,30.0,81.6,6.21,1633.4,rice
91.7,45.6,45.2,20.0,75.9,6.48,1703.3,rice
97.0,26.7,21.8,25.1,82.3,6.21,2186.8,rice
76.1,44.2,24.3,26.0,77.4,6.48,1617.8,rice
59.5,63.8,39.1,22.9,75.2,6.24,1817.5,rice
83.0,43.2,42.7,27.8,77.9,6.35,2065.9,rice
78.2,41.1,18.7,29.3,75.9,6.07,1822.2,rice
76.8,28.6,30.8,33.5,81.5,6.26,2129.1,rice
51.4,29.7,25.9,28.1,80.8,6.22,1439.6,rice
56.8,53.0,25.3,32.2,76.7,6.34,1889.1,rice
71.2,33.3,14.8,27.3,76.8,5.99,2081.4,rice
73.1,35.1,41.5,20.4,81.4,6.48,1637.2,rice
72.4,40.4,10.0,22.8,80.5,6.33,1652.9,rice
86.7,35.9,31.7,25.9,77.5,6.26,1863.4,rice
71.2,42.7,37.1,25.1,81.5,6.28,1698.3,rice
98.0,23.5,22.9,22.4,79.2,6.33,2039.8,rice
